"species","max.altitude","dev.mode","courtship.feed.m","song.dur","breed.system"
"Acridotheres_tristis",NA,2,0,NA,1
"Aix_galericulata",NA,1,NA,NA,2
"Anas_americana",NA,1,NA,NA,2
"Anas_clypeata",NA,1,NA,NA,2
"Anthracothorax_nigricollis",NA,2,NA,NA,2
"Anthus_hodgsoni",NA,2,NA,NA,1
"Aphelocoma_coerulescens",NA,2,NA,NA,4
"Aphelocoma_ultramarina",NA,2,NA,NA,NA
"Ardea_cinerea",NA,2,NA,NA,1
"Ardenna_bulleri",NA,2,NA,NA,1
"Arenaria_interpres",100,1,NA,NA,1
"Aspatha_gularis",NA,2,NA,NA,1
"Athene_cunicularia",NA,2,NA,NA,5
"Auriparus_flaviceps",NA,2,NA,NA,1
"Baeolophus_bicolor",NA,2,NA,1.4,4
"Bonasa_umbellus",NA,1,NA,NA,2
"Branta_bernicla",0,1,NA,NA,1
"Bubo_scandiacus",NA,2,NA,NA,1
"Buteo_lagopus",NA,2,NA,NA,1
"Calidris_ruficollis",NA,1,NA,NA,1
"Carduelis_carduelis",2000,2,1,3.21,1
"Catharus_guttatus",NA,NA,NA,1.59,NA
"Catharus_minimus",NA,NA,NA,2.14,NA
"Cepphus_columba",NA,3,NA,NA,1
"Charadrius_semipalmatus",NA,1,NA,NA,1
"Chrysolophus_amherstiae",NA,1,NA,NA,2
"Clytospiza_monteiri",NA,2,NA,NA,1
"Coccyzus_erythropthalmus",NA,2,NA,NA,1
"Coloeus_monedula",2100,2,1,NA,1
"Corvus_frugilegus",2000,2,1,NA,1
"Daption_capense",NA,2,NA,NA,1
"Elaenia_flavogaster",NA,2,NA,NA,1
"Emberiza_cioides",NA,2,NA,NA,1
"Emberiza_citrinella",1800,2,0,2.1,1
"Emberiza_hortulana",3000,2,0,2.1,1
"Estrilda_astrild",NA,NA,0,NA,NA
"Euphagus_cyanocephalus",NA,2,NA,NA,1
"Falco_sparverius",NA,2,NA,NA,5
"Fulmarus_glacialoides",NA,2,NA,NA,1
"Haemorhous_purpureus",NA,2,NA,2,1
"Hieraaetus_pennatus",NA,2,NA,NA,1
"Jynx_ruficollis",NA,2,NA,NA,1
"Lanius_excubitor",1000,2,1,NA,1
"Lanius_schach",NA,2,NA,NA,1
"Larus_marinus",NA,3,NA,NA,1
"Limnodromus_griseus",NA,1,NA,NA,1
"Luscinia_svecica",3800,2,0,7.8,1
"Melanerpes_carolinus",NA,2,NA,NA,1
"Melanocorypha_yeltoniensis",NA,2,0,NA,1
"Merops_superciliosus",NA,2,NA,NA,4
"Myiopsitta_monachus",NA,2,NA,NA,4
"Oceanodroma_castro",NA,2,NA,NA,1
"Oceanodroma_monorhis",NA,2,NA,NA,1
"Oenanthe_pleschanka",NA,NA,0,NA,NA
"Otis_tarda",NA,1,NA,NA,2
"Pachyptila_desolata",NA,2,NA,NA,1
"Passer_domesticus",2300,2,0,NA,4
"Pericrocotus_flammeus",NA,2,NA,NA,NA
"Phaethon_aethereus",NA,2,NA,NA,1
"Phalacrocorax_auritus",NA,2,NA,NA,1
"Phoebastria_nigripes",NA,2,NA,NA,1
"Phoebetria_fusca",NA,2,NA,NA,1
"Picoides_tridactylus",NA,2,NA,NA,1
"Picus_viridis",NA,2,NA,NA,1
"Pinicola_enucleator",NA,2,1,NA,1
"Pluvialis_squatarola",50,1,NA,NA,1
"Poecile_gambeli",NA,2,NA,NA,1
"Progne_subis",NA,2,NA,3,1
"Protonotaria_citrea",NA,2,NA,NA,1
"Pterocles_exustus",NA,1,NA,NA,1
"Pterodroma_leucoptera",NA,2,NA,NA,1
"Pterodroma_mollis",NA,2,NA,NA,1
"Pterodroma_neglecta",NA,2,NA,NA,1
"Puffinus_gravis",NA,2,NA,NA,1
"Rallus_longirostris",NA,3,NA,NA,1
"Riparia_riparia",4500,2,0,NA,1
"Rissa_tridactyla",NA,3,NA,NA,1
"Sarcoramphus_papa",NA,2,NA,NA,1
"Setophaga_fusca",NA,2,NA,1.5,1
"Setophaga_townsendi",NA,NA,NA,1.4,NA
"Sitta_pygmaea",NA,2,NA,NA,4
"Sturnella_magna",NA,2,NA,1.28,1
"Sula_nebouxii",NA,2,NA,NA,1
"Sylvia_borin",2000,2,1,3.28,1
"Sylvia_curruca",3600,2,1,1.75,1
"Sylvia_mystacea",NA,NA,0,NA,NA
"Sylvia_nisoria",1600,2,0,6,1
"Tetraogallus_caucasicus",NA,1,NA,NA,1
"Tiaris_olivaceus",NA,2,NA,NA,1
"Tityra_semifasciata",NA,2,NA,NA,1
"Toxostoma_longirostre",NA,2,NA,NA,1
"Trigonoceps_occipitalis",NA,2,NA,NA,1
"Tringa_totanus",4000,1,NA,NA,1
"Turdus_grayi",NA,2,NA,NA,1
"Turdus_iliacus",1350,2,0,0.9,1
"Tympanuchus_cupido",NA,1,NA,NA,2
"Tyto_alba",NA,2,NA,NA,1
"Vireo_olivaceus",NA,2,NA,0.35,1
"Vultur_gryphus",NA,2,NA,NA,1
"Zenaida_macroura",NA,2,NA,NA,1
