SpecimenID,Species,CollectionDate,Status
NHM.10.1.6.7,Niffler,12/03/1901,male juvenile
NHM.10.1.6.8,Occamy,15/08/1992,female adult
NHM.10.1.6.8,Occamy,15/08/1992,female adult
NHM.10.1.6.9,Kelpie,14/12/1902,male adult
NHM.10.1.6.10,Demiguise,01/01/1900,male adult
NHM.10.1.6.11,Dragon,08/09/1954,male adult
NHM.10.1.6.12,Hinkypuff,11/08/1934,female juvenile
NHM.10.1.6.12,Hinkypuff,11/08/1934,female juvenile
NHM.10.1.6.13,Murtlap,01/09/2012,male adult
NHM.10.1.6.14,Phoenix,30/10/1973,male adult
NHM.10.1.6.15,Thunderbird,04/06/1949,male adult
NHM.10.1.6.16,Thestral,26/07/1984,female juvenile
NHM.10.1.6.17,Gnome,12/06/2007,female juvenile
NHM.10.1.6.17,Gnome,12/06/2007,male adult
NHM.10.1.6.18,Doxie,04/11/2024,male adult
NHM.10.1.6.19,Skrewt,27/06/2004,male juvenile
NHM.10.1.6.20,Erumpent,31/12/1965,female adult
NHM.10.1.6.20,Erumpent,31/12/1965,female adult
NHM.10.1.6.21,Fire_crab,17/01/1999,female adult
NHM.10.1.6.22,Pixie,06/10/2016,female adult
